"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population","weeknum"
2020-04-30,110,"พระนครศรีอยุธยา",4,4,1,1,"Phra Nakhon Si Ayutthaya","TH14",998279,NA
2020-04-30,110,"พะเยา",1,3,1,1,"Phayao","TH56",313682,NA
2020-04-30,110,"พังงา",2,2,0,0,"Phangnga","TH82",254114,NA
2020-04-30,110,"พัทลุง",8,14,0,0,"Phatthalung","TH93",419456,NA
2020-04-30,110,"พิจิตร",0,0,0,0,"Phichit","TH66",475920,NA
2020-04-30,110,"พิษณุโลก",3,6,0,0,"Phitsanulok","TH65",938009,NA
2020-04-30,110,"ภูเก็ต",154,217,2,2,"Phuket","TH83",962681,NA
2020-04-30,110,"มหาสารคาม",0,1,0,1,"Maha Sarakham","TH44",655502,NA
2020-04-30,110,"มุกดาหาร",0,4,0,0,"Mukdahan","TH49",365780,NA
2020-04-30,110,"ยะลา",86,121,1,2,"Yala","TH95",409580,NA
2020-04-30,110,"ยโสธร",0,1,0,0,"Yasothon","TH35",385065,NA
2020-04-30,110,"ระนอง",0,0,0,0,"Ranong","TH85",340692,NA
2020-04-30,110,"ระยอง",1,6,0,0,"Rayong","TH21",1188389,NA
2020-04-30,110,"ราชบุรี",0,7,0,0,"Ratchaburi","TH70",721366,NA
2020-04-30,110,"ร้อยเอ็ด",0,3,0,0,"Roi Et","TH45",848096,NA
2020-04-30,110,"ลพบุรี",0,2,0,0,"Lop Buri","TH16",718935,NA
2020-04-30,110,"ลำปาง",4,4,0,0,"Lampang","TH52",632799,NA
2020-04-30,110,"ลำพูน",2,4,0,0,"Lamphun","TH51",377527,NA
2020-04-30,110,"ศรีสะเกษ",1,8,0,0,"Si Sa Ket","TH33",723648,NA
2020-04-30,110,"สกลนคร",1,1,0,0,"Sakon Nakhon","TH47",768297,NA
2020-04-30,110,"สงขลา",81,105,0,0,"Songkhla","TH90",1574431,NA
2020-04-30,110,"สตูล",18,18,0,0,"Satun","TH91",270993,NA
2020-04-30,110,"สมุทรปราการ",60,112,4,4,"Samut Prakan","TH11",2968727,NA
2020-04-30,110,"สมุทรสงคราม",1,1,0,0,"Samut Songkhram","TH75",152998,NA
2020-04-30,110,"สมุทรสาคร",6,14,1,1,"Samut Sakhon","TH74",1580413,NA
2020-04-30,110,"สระบุรี",1,5,0,0,"Saraburi","TH19",802049,NA
2020-04-30,110,"สระแก้ว",2,10,0,0,"Sa Kaeo","TH27",565874,NA
2020-04-30,110,"สิงห์บุรี",0,0,0,0,"Sing Buri","TH17",155156,NA
2020-04-30,110,"สุพรรณบุรี",4,6,0,0,"Suphan Buri","TH72",748248,NA
2020-04-30,110,"สุราษฎร์ธานี",5,18,0,0,"Surat Thani","TH84",1051922,NA
2020-04-30,110,"สุรินทร์",2,9,1,1,"Surin","TH32",860410,NA
2020-04-30,110,"สุโขทัย",0,3,0,0,"Sukhothai","TH64",596662,NA
2020-04-30,110,"หนองคาย",2,3,0,0,"Nong Khai","TH43",379636,NA
2020-04-30,110,"หนองบัวลำภู",1,3,0,0,"Nong Bua Lam Phu","TH39",438010,NA
2020-04-30,110,"อำนาจเจริญ",1,2,0,0,"Amnat Charoen","TH37",203893,NA
2020-04-30,110,"อุดรธานี",1,10,0,0,"Udon Thani","TH41",1020066,NA
2020-04-30,110,"อุตรดิตถ์",0,3,0,0,"Uttaradit","TH53",371390,NA
2020-04-30,110,"อุทัยธานี",0,1,0,0,"Uthai Thani","TH61",260998,NA
2020-04-30,110,"อุบลราชธานี",2,15,0,0,"Ubon Ratchathani","TH34",1614923,NA
2020-04-30,110,"อ่างทอง",0,0,0,0,"Ang Thong","TH15",216643,NA
2020-04-30,110,"เชียงราย",3,9,0,0,"Chiang Rai","TH57",1089821,NA
2020-04-30,110,"เชียงใหม่",10,40,1,1,"Chiang Mai","TH50",1809819,NA
2020-04-30,110,"เพชรบุรี",1,2,0,0,"Phetchaburi","TH76",456851,NA
2020-04-30,110,"เพชรบูรณ์",0,3,0,0,"Phetchabun","TH67",821626,NA
2020-04-30,110,"เลย",3,5,0,0,"Loei","TH42",446635,NA
