"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population","weeknum"
2020-01-13,2,"อ่างทอง",0,0,0,0,"Ang Thong","TH15",216643,NA
2020-01-13,2,"เชียงราย",0,0,0,0,"Chiang Rai","TH57",1089821,NA
2020-01-13,2,"เชียงใหม่",0,0,0,0,"Chiang Mai","TH50",1809819,NA
2020-01-13,2,"เพชรบุรี",0,0,0,0,"Phetchaburi","TH76",456851,NA
2020-01-13,2,"เพชรบูรณ์",0,0,0,0,"Phetchabun","TH67",821626,NA
2020-01-13,2,"เลย",0,0,0,0,"Loei","TH42",446635,NA
2020-01-13,2,"แพร่",0,0,0,0,"Phrae","TH54",335189,NA
2020-01-13,2,"แม่ฮ่องสอน",0,0,0,0,"Mae Hong Son","TH58",187041,NA
2020-01-20,9,"กระบี่",0,0,0,0,"Krabi","TH81",347995,NA
2020-01-20,9,"กรุงเทพมหานคร",1,2,0,0,"Bangkok","TH10",10709136,NA
2020-01-20,9,"กาญจนบุรี",0,0,0,0,"Kanchanaburi","TH71",778936,NA
2020-01-20,9,"กาฬสินธุ์",0,0,0,0,"Kalasin","TH46",664356,NA
2020-01-20,9,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777,NA
2020-01-20,9,"ขอนแก่น",0,0,0,0,"Khon Kaen","TH40",1630099,NA
2020-01-20,9,"จันทบุรี",0,0,0,0,"Chanthaburi","TH22",442591,NA
2020-01-20,9,"ฉะเชิงเทรา",0,0,0,0,"Chachoengsao","TH24",738516,NA
2020-01-20,9,"ชลบุรี",0,0,0,0,"Chon Buri","TH20",2147385,NA
2020-01-20,9,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108,NA
2020-01-20,9,"ชัยภูมิ",0,0,0,0,"Chaiyaphum","TH36",764624,NA
2020-01-20,9,"ชุมพร",0,0,0,0,"Chumphon","TH86",441213,NA
2020-01-20,9,"ตรัง",0,0,0,0,"Trang","TH92",540949,NA
2020-01-20,9,"ตราด",0,0,0,0,"Trat","TH23",264085,NA
2020-01-20,9,"ตาก",0,0,0,0,"Tak","TH63",510728,NA
2020-01-20,9,"นครนายก",0,0,0,0,"Nakhon Nayok","TH26",227464,NA
2020-01-20,9,"นครปฐม",0,0,0,0,"Nakhon Pathom","TH73",1028904,NA
2020-01-20,9,"นครพนม",0,0,0,0,"Nakhon Phanom","TH48",449625,NA
2020-01-20,9,"นครราชสีมา",0,0,0,0,"Nakhon Ratchasima","TH30",2368321,NA
2020-01-20,9,"นครศรีธรรมราช",0,0,0,0,"Nakhon Si Thammarat","TH80",1260910,NA
2020-01-20,9,"นครสวรรค์",0,0,0,0,"Nakhon Sawan","TH60",826586,NA
2020-01-20,9,"นนทบุรี",0,0,0,0,"Nonthaburi","TH12",1940476,NA
2020-01-20,9,"นราธิวาส",0,0,0,0,"Narathiwat","TH96",610304,NA
2020-01-20,9,"น่าน",0,0,0,0,"Nan","TH55",402916,NA
2020-01-20,9,"บึงกาฬ",0,0,0,0,"Bueng Kan","TH38",306619,NA
2020-01-20,9,"บุรีรัมย์",0,0,0,0,"Buri Ram","TH31",985709,NA
2020-01-20,9,"ปทุมธานี",0,0,0,0,"Pathum Thani","TH13",2352209,NA
2020-01-20,9,"ประจวบคีรีขันธ์",0,0,0,0,"Prachuap Khiri Khan","TH77",454323,NA
2020-01-20,9,"ปราจีนบุรี",0,0,0,0,"Prachin Buri","TH25",669420,NA
2020-01-20,9,"ปัตตานี",0,0,0,0,"Pattani","TH94",557875,NA
